축제명,축제시작일자,축제종료일자,축제내용,주최기관명,전화번호,홈페이지주소,소재지도로명주소,데이터기준일자,제공기관명
2014 안양시민축제,2014-09-26,2014-09-28,시민공연마당+ 전시체험부스+ 특별기회전시+ 개폐막 축하공연+ 방송국 공개방송+ 거리공연 등,경기도 안양시+안양축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2017 안양충훈벚꽃축제,2017-04-07,2017-04-09,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,경기도 안양시+안양충훈벚꽃축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 만안구 석수로 159,2024-04-08,경기도 안양시
2017 안양 아줌마축제,2017-05-27,2017-05-28,아줌마 축제 기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2017 광복기념음악회,2017-08-15,2017-08-15,안양필하모닉 오케스트라연주+ 안양시립합창단 공연 등 (우천으로 안양아트센터 관악홀 실내 진행),(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr,경기도 안양시 만안구 문예로 36번길 16,2024-04-08,경기도 안양시
2017 안양 시민축제,2017-09-15,2017-09-17,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,경기도 안양시+안양축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2018 안양충훈벚꽃축제,2018-04-07,2018-04-15,축하공연+ 안양꽃길걷기대회+ 안양꽃길그리기+ 어린이벼룩시장+ 거리공연+ 체험부스 등,경기도 안양시+안양충훈벚꽃축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 만안구 석수로 159,2024-04-08,경기도 안양시
2018 안양여성축제,2018-05-12,2018-05-13,기념공연+ 여성동아리공연+ 미니올림픽+ 김장담그기대회+ 홍보체험부스 등,(재)안양문화예술재단,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
2018 광복기념음악회,2018-08-15,2018-08-15,뮤지컬 그룹 플래티넘+ 안양시립합창단 공연 등,경기도 안양시+안양축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 만안구 병목안로 215,2024-04-08,경기도 안양시
2018 안양 시민축제,2018-09-14,2018-09-16,시민공연마당+ 전시체험부스+ 개폐막 축하공연+ 방송국 공개방송+ 안양시민의날 기념식+ 안양시민가요제 등,경기도 안양시+안양축제추진위원회,031-687-0500,http://www.ayac.or.kr,경기도 안양시 동안구 관평로 149 (평촌동),2024-04-08,경기도 안양시
마곡사 신록축제,2022-05-07,2022-05-08,전시 운영+백범명상길 걷기+마곡사 보물찾기 등,공주시,041-840-2056,,충청남도 공주시 사곡면 마곡사로 966 마곡사,2022-11-21,충청남도 공주시
제68회 백제문화제,2022-10-01,2022-10-10,웅진성퍼레이드+체험마당+무대공연+농특산품전시 및 판매,백제문화제추진위원회,041-840-8112,https://www.baekje.org/kor/,충청남도 공주시 신관동 553,2022-11-21,충청남도 공주시
제5회 겨울공주 군밤축제,2022-01-29,2022-02-20,알밤 토크콘서트+공주알밤 디저트 UCC공모전+휴게소 홍보 등,공주시,041-840-2056,,충청남도 공주시 금학동 111-1,2022-11-21,충청남도 공주시
제1회 유구색동수국정원 꽃축제,2022-06-17,2022-06-19,공식+기획 행사+경관조성+체험프로그램+편의시설 운영 등,공주시,041-840-8111,,,2022-11-21,충청남도 공주시
보이지 않아도 보이는,2022-07-13,2022-07-17,"전시장에서 작품을 관람하고자 할 때, 종종 만지지 마세요 눈으로만 보세요.’ 라는 글귀가 있다. 그러면 작품을 볼 수 없는 시작장애인에게 작품 감상은 불가능하다. 이번 전시는 장애인과 같이 문화적 소외자들에게도 작품 감상의 기회를 만들어 시각 예술 분야의 한계성을 극복해보고자 하는 전시이다.",강원문화재단+공공미터협동조합,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10597&search_type=1&search_keyword=EBB3B4EC9DB4ECA780+EC958AEC9584EB8F84+EBB3B4EC9DB4EB8A94,강원도 춘천시 스포츠타운길399번길 25 어린이회관,2023-01-12,강원도 춘천시
Creative energy_김정현 개인展,2022-07-01,2022-07-06,김정현 개인전,김정현,033-241-1856,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10594&search_type=1&search_keyword=Creative+energy_EAB980ECA095ED9884+EAB09CEC9DB8E5B195,강원도 춘천시 서부대성로 71,2023-01-12,강원도 춘천시
2022년 강원PAX아라리 제 3회 정기연주회,2022-06-29,2022-06-29,"강원팍스아라리 주관으로 수원대학교 교수 박영란 작곡가에게 위촉한 6곡의 아리랑을 피아노(4명의 피아니스트)와 국악기(7명의 국악기 연주자)가 함께 앙상블로 연주한다. 국악과 양악의 콜라보레이션으로서, 한국 전통 민요인 아리랑을 새롭게 재창조하며 다채로운 해석을 통하여 대중적으로 다가가는 공연이 될 것이다.",강원팍스아라리,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=10591&search_type=1&search_keyword=2022EB8584+EAB095EC9B90PAXEC9584EB9DBCEBA6AC+ECA09C+3ED9A8C+ECA095EAB8B0EC97B0ECA3BCED9A8C,강원도 춘천시 우석로 70 국립춘천박물관,2023-01-12,강원도 춘천시
제4회 대청호 벚꽃축제,2022-04-08,2022-04-10,벚꽃 아트길+온라인 공연+경연대회,대전광역시 동구청,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,2023-11-07,대전광역시 동구
제5회 대청호 벚꽃축제,2023-04-07,2023-04-09,벚꽃콘서트+경연대회+푸드트럭+체험프로그램 등,대전광역시 동구청,042-251-6686,https://www.donggu.go.kr/dg/tour/contents/988,,2023-11-07,대전광역시 동구
동두천 청소년 별자리과학 축제,2023-10-21,2023-10-21,경기북부지역 청소년들의 과학과 수학에 대한 자신감과 흥미유발,경기도청+경기도 동두천시청,031-860-2857,http://www.ddc.go.kr,경기도 동두천시 어등로 45,2024-03-06,경기도 동두천시
동두천락페스티벌,2023-08-25,2023-08-26,전국락밴드경연 및 락 뮤지션 초청공연,경기도 동두천시청 락페스티벌 조직위원회,031-860-2105,https://www.ddc.go.kr/tour/contents.do?key=269,,2024-03-06,경기도 동두천시
2023 제7회 이담농악두드림대축제,2023-07-22,2023-07-22,동두천시 무형문화재 제3호 이담농악보존회에서 주관하는 축제,이담농악보존회,031-860-3331,http://www.ddc.go.kr,경기도 동두천시 중앙로 268,2024-03-06,경기도 동두천시
제4회 동두천 국제 트레일러닝 대회,2023-04-29,2023-04-29,천혜의 자연 경관을 바탕으로 명실상부한 국내 최고의 트레일러닝대회,럭엑스런,031-860-2209,http://www.korea50k.com,경기도 동두천시 어등로 45,2024-03-06,경기도 동두천시
상패남산축제,2023-09-09,2023-09-09,공연+체험+먹거리장터 등,경기도청+경기도 동두천시청+상패동행정복지주민센터,031-860-3172,http://www.ddc.go.kr,경기도 동두천시 어수로 8,2024-03-06,경기도 동두천시
동두천시 자원봉사 축제,2023-10-14,2023-10-14,자원봉사자와 시민·청소년 모두가 하나되는 나눔의 장,경기도 동두천시청,031-860-2089,http://www.ddc.go.kr,경기도 동두천시 중앙로 125,2024-03-06,경기도 동두천시
DDC할로윈클럽데이,2018-10-27,2018-10-28,할로윈데이를 모티브로 한 젊은층 맞춤형 페스티벌,경기도청+경기도 동두천시청,031-860-2627,http://www.ddc.go.kr,경기도 동두천시 상패로216번길 42,2024-03-06,경기도 동두천시
제5회 연제고분판타지축제,2024-03-22,2024-03-24,역사문화행사,부산광역시 연제구,051-665-4064,,,2024-03-07,부산광역시 연제구
(가칭)오산 산타 마켓,2024-11-23,2024-12-25,마켓운영+경관조명,경기도 오산시청 문화예술과,031-8036-7608,https://www.osan.go.kr/main.do,경기도 오산시 원동로37번길 37-1,2024-03-04,경기도 오산시
여주도자기축제,2024-05-03,2024-05-12,"여주 도자기 전시 및 판매, 공연 등",경기도 여주시청,031-881-9693,www.yjcf.or.kr,경기도 여주시 신륵사길 7,2024-03-01,경기도 여주시
크랩킹페스타,2024-04-11,2024-04-14,"개막식, 먹거리장터, 공연행사,크랩뜰낚시체험, 크랩맨손잡기",강원특별자치도 동해시청,033-530-2111,,,2024-03-05,강원특별자치도 동해시
2024얼음나라 화천 산천어축제,2024-01-06,2024-01-28,얼음낚시+맨손잡기+눈얼음체험+얼음조각광장 등,강원특별자치도 화천군청,1688-3000,www.narafestival.com,강원특별자치도 화천군 화천읍 산천어길 137,2024-03-05,강원특별자치도 화천군
2024 대구앞산축제(제29회 대덕제),2024-05-25,2024-05-26,앞산을 배경으로 다양한 체험프로그램과 문화예술 공연이 있는 주민화합 축제,대구광역시 남구,053-664-3262,,대구광역시 남구 고산4길 71,2024-03-05,대구광역시 남구
영도다리축제,2024-10-12,2024-10-13,개막주제공연+축하공연+불꽃쇼+퍼레이드+체험행사 등,부산광역시 영도구청,051-419-4064,http://www.yeongdo.go.kr/ydfestival.web,부산광역시 영도구 해양로 301번길 55,2024-03-04,부산광역시 영도구
영도커피페스티벌,2024-05-24,2024-05-26,개막주제공연+축하공연+체험행사 등,부산광역시 영도구청,051-419-6332,https://www.yeongdo.go.kr/yd_coffee_festival.web,부산광역시 영도구 해양로 301번길 55,2024-03-04,부산광역시 영도구
2024고령 대가야축제,2023-03-29,2023-03-31,"체험프로그램, 악성우륵추모제, 가야금 100대 공연, 야간특별프로그램, 불꽃쇼, 인기가수 공연 등",고령군,054-950-6424,http://www.festdgy.com/,경상북도 고령군 대가야읍 대가야로 1216,2024-03-04,경상북도 고령군
2020 부평풍물대축제,2020-10-16,2020-10-18,다큐멘터리 제작+지역 문화예술인 참여 소규모 공연 등,인천광역시 부평구청,032-509-7516,https://portal.icbp.go.kr/bpf/,인천광역시 부평구 신트리로 21,2024-03-04,인천광역시 부평구
부산진구 서면 빛축제,2023-10-13,2024-02-04,테마별 빛 시설물 조성 + 문화예술 프로그램 운영,부산광역시 부산진구청,051-605-4522,https://www.busanjin.go.kr/index.busanjin?menuCd=DOM_000001003003007000,부산광역시 부산진구 시민공원로30 (범전동),2024-05-20,부산광역시 부산진구
2023계룡軍문화축제,2023-10-06,2023-10-10,"개막식,전시관, 체험, 공연·경연, 부대행사등",충청남도 계룡시,042-840-2623,http://m-festival.org/,,2023-08-28,충청남도 계룡시
휴애리 유럽 수국축제,2023-07-15,2023-09-15,동물먹이주기체험 전통놀이체험,휴애리자연생활공원,064-732-2114,hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,2023-12-05,제주특별자치도
상효원수목원 봉선화축제,2023-07-29,2023-09-22,2014년 4월에 개원하여 운영하고 있는 제주도 서귀포시 돈내코 인근 중산간에 위치한 힐링 수목원 상효원에서 여름을 맞이하여 수국전시에 이어 산파첸스 축제가 열린다,상효원수목원,064-733-2200,www.sanghyowon.com/,제주특별자치도 서귀포시 산록남로 2847-37,2023-12-05,제주특별자치도
2023제주애니아일랜드페스티벌,2023-09-16,2023-09-16,캐릭터 전시·캐릭터 마켓·캐릭터 놀이터·나만의 모자 만들기 체험·다양한 공연·애니 상영회·캐릭터 페이스 페인팅,제주특별자치도 제주영상문화산업진흥원,064-766-0707,naver.me/I5464pEC,제주특별자치도 서귀포시 태평로537번길 40-9,2023-12-05,제주특별자치도
제13회 산지천축제,2023-09-08,2023-09-10,산지천 토크와 컨퍼런스·길트기·개막공연·문화예술공연·시니어모델 패션쇼·청소년 댄스 콘테스트·산지천 소망등 띄우기·산지천 물총파티·촘대 광어 낚시·RC보트 투어링·산지천 로드드로잉·산지천 전시회· 스탬프투어·어린이 장터 등,건입동주민센터,064-728-4655,,제주특별자치도 제주시 칠성로길 48,2023-12-05,제주특별자치도
아트 트랙 제주 2023,2023-09-01,2023-10-01,제주 전역을 전시장으로 한 제주를 여행하며 문화예술을 즐기는 아트 트랙 제주 2023,SPEEKER,070-4367-6329,www.instagram.com/speeker_official,제주특별자치도 제주시 애월읍 일주서로 6935,2023-12-05,제주특별자치도
제16회 제주해녀축제,2023-09-23,2023-09-24,체험 및 홍보부스 운영·’즐거운 오후 2시’와 함께하는 해녀가족 노래자랑·지역문화공원,제주해녀축제추진위원회,064-711-7021,,제주특별자치도 제주시 구좌읍 해녀박물관길 26,2023-12-05,제주특별자치도
휴애리 핑크뮬리축제,2023-09-15,2023-11-15,흑돼지야놀자·동물먹이주기체험·야생화 자연 학습체험·청귤체험·감귤체험·전통놀이체험,휴애리자연생활공원,064-732-2114,hueree.com,제주특별자치도 서귀포시 남원읍 신례동로 256,2023-12-05,제주특별자치도
2023 숲으로오라-찾아라초록 숲의 비밀,2023-10-14,2023-10-14,어린이 환경수호대(3기)·숲속 보물찾기·업사이클 굿즈 만들기 등 다양한 체험 프로그램과 환경의 중요성을 직접 느낄 수 있는 교육 프로그램과 제주 설화 인형극·밤마실 극장 등 현장에서 참여할 수 있는 다양한 체험거리와 즐길거리가 마련된다,제주특별자치도,064-740-6000,www.instagram.com/jejuforest_ora/,제주특별자치도 제주시 오남로 221,2023-12-05,제주특별자치도
신산 도채비 빛축제,2023-10-21,2023-11-19,제주 도심 속 휴식공간인 신산공원에서 가을밤 신비롭고 아름다운 빛이 켜진다. 어쩌면 기적처럼 소원이 이루어질지 모른다. 처음 만나는 도채비 빛 축제를 만나보자,제주특별자치도,,www.instagram.com/jeju_sinsan,제주특별자치도 제주시 신산로 82,2023-12-05,제주특별자치도
마노르블랑 핑크뮬리축제,2023-09-15,2023-11-30,대한민국 핑크뮬리의 성지 마노르블랑에서 핑크뮬리축제의 향연이 시작된다.,마노르블랑,064-794-0999,manorblanc.modoo.at,제주특별자치도 서귀포시 안덕면 일주서로2100번길 46,2023-12-05,제주특별자치도
제8회 고마로 마문화축제,2023-10-13,2023-10-15,고마로가요제·거리퍼레이드·먹거리장터 및 체험부스 운영 등,고마로마문화축제위원회,064-728-4442,,제주특별자치도 제주시 신산로 82,2023-12-05,제주특별자치도
제주 광어대축제,2023-10-14,2023-10-22,광어를 소재로 한 국내 유일의 행사로써 제주 광어의 우수성과 안정성을 소개하고 홍보하는 축제이다.,제주어류양식수협,064-766-7225,,제주특별자치도 제주시 연삼로 166,2023-12-05,제주특별자치도
JEMI페스타,2023-10-21,2023-10-22,제주의 JEMI있는 콘텐츠를 발굴하는 연구소 ’제주콘텐츠코리아랩’의 콘텐츠 기업을 만날 수 있는 ’JEMI페스타’가 개최된다. 이번 JEMI페스타에는 32개 팀의 도내 콘텐츠기업과 예비창업자들이 참여해 다양한 미션존·체험존·전시존이 운영된다.,제주특별자치도,064-735-0617,jejuckl.kr/community/photo.htm?act=view&seq=580,제주특별자치도 제주시 신산로 82,2023-12-05,제주특별자치도
흥부제,2023-10-07,2023-10-09,흥부마을터울림+다양한 공연 및 홍보 등,전라북도 남원시청,063-620-5772,,전라북도 남원시 양림길 12,2023-12-04,전라북도 남원시
지리산 뱀사골 단풍제,2023-10-21,2023-10-21,"단풍제(산신제)+체험행사(단풍길 걷기, 보물찾기 등)+지리산 풍경 사진전+공연단 공연",전라북도 남원시 산내면,063-620-4705,,전라북도 남원시 산내면 와운길 10,2023-12-04,전라북도 남원시
백운계곡 뜬구름 축제,2022-04-30,2022-05-22,장작패기+무술체험+포천쿠키만들기+레트로포토존+뜬구름빵+행운쿠기체험 등,경기도시장상군진흥원,,,경기도 포천시 이동면 포화로148,2023-12-04,경기도 포천시
억새꽃 축제,2022-10-15,2022-11-20,작은버스킹+1년 후에 받는 편지 등,경기도 포천시청+포천시문화재단,,,경기도 포천시 영북면 산정호수로411번길 89,2023-12-04,경기도 포천시
포천 백운계곡 동장군 축제,2022-12-24,2023-02-05,ICE BIG TREE 포토존+얼음조각작품 전시+튜브 눈썰매+송어얼음 낚시,경기도 포천시청,,,경기도 포천시 이동면 화동로 2381,2023-12-04,경기도 포천시
도봉 과학축전,2015-10-23,2015-10-28,과학 체험· 전시·교육·이벤트 마당 등,서울특별시 도봉구청,02-2091-2316,http://science.dobong.go.kr,서울특별시 도봉구 마들로 656,2018-05-01,서울특별시 도봉구
제13회 남한강축제,2023-07-29,2023-07-30,문화예술공연+노래자랑 등,남한강축제위원회,033-737-5630,,강원도 원주시 부론면 앙암로 1234,2023-05-17,강원도 원주시
치악산찰옥수수축제,2023-07-01,2023-07-01,지역 옥수수 판매 및 농특산물 직거래장터 운영 등,문막농업협동조합,033-737-1164,,,2023-05-17,강원도 원주시
치악산복숭아축제,2023-08-01,2023-08-01,지역 복숭아 판매+품평회+기타 등,치악산복숭아 원주시협의회,033-737-4131,,강원도 원주시 단구로 170,2023-05-17,강원도 원주시
2023 원주 댄싱카니발,2023-09-22,2023-09-24,댄싱경연+문화예술공연+각종 체험 등,강원도 원주시청,033-737-5123,,강원도 원주시 단구로 170,2023-05-17,강원도 원주시
원주삼토페스티벌,2023-09-14,2023-09-17,농촌문화체험+지역먹거리 판매 등,강원도 원주시청+원주시농업인단체연합회,033-737-4155,,강원도 원주시 서원대로 311,2023-05-17,강원도 원주시
치악산한우축제,2023-10-01,2023-10-01,지역 한우 판매 등,농업기술센터 축산과,033-737-4195,,강원도 원주시 단구로 170,2023-05-17,강원도 원주시
원주 독서대전,2023-10-01,2023-10-01,학술토론+전시체험 등,평생교육원 시립중앙 도서관,033-737-3817,,강원도 원주시 단구로 170,2023-05-17,강원도 원주시
원주 평생학습 축제,2023-10-06,2023-10-07,개막식+공연+전시+체험 등,원주시 평생교육원 학습관,033-737-3808,www.wonju.go.kr,강원도 원주시 원일로 139,2023-05-17,강원도 원주시
제8회 상록수문화제,2021-10-26,2021-10-26,공연+체험 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
제9회 상록수문화제,2022-10-01,2022-10-01,기념음악회+전시+체험 등,경기도 안산시청,031-481-3040,https://www2.ansan.go.kr/choiyongshin/main/main.do,경기도 안산시 상록구 샘골서길 64,2024-04-17,경기도 안산시
안산국제거리극축제,2023-05-05,2023-05-07,순수예술축제,경기도 안산시청,031-481-0536,https://www.ansanart.com/index.do,경기도 안산시 단원구 광덕대로 157,2024-04-17,경기도 안산시
여르미오페스티벌,2023-09-02,2023-09-02,대중예술축제,안산문화재단,031-481-0535,https://www.ansanart.com/index.do,경기도 안산시 단원구 동산로 268,2024-04-17,경기도 안산시
2024 경산자인단오제,2024-06-08,2024-06-10,무형문화재 공연 및 각종 체험부대행사,경산자인단오제보존회,053-856-5765,jaindano.or.kr,경상북도 경산시 자인면 계정길 68,2024-04-15,경상북도 경산시
2024 경산갓바위소원성취축제,2024-09-07,2024-09-08,소원성취 다례봉행+음악회 및 체험부대행사,갓바위축제추진위원회,053-851-0022,,,2024-04-15,경상북도 경산시
제13회 경산대추축제 농산물한마당,2024-10-19,2024-10-20,우수 농산물 홍보 및 판매+체험행사 등,미정,053-810-6707,,,2024-04-15,경상북도 경산시
정서진 해넘이 행사,2024-12-31,2024-12-31,경관조명행사 + 체험프로그램,인천광역시 서구문화원,032-560-5933,http://www.seo.incheon.kr/,인천광역시 서구 정서진1로 41,2024-03-05,인천광역시 서구
아라뱃길 카약축제,2024-06-15,2024-06-15,수상레저체험 + 부대행사,인천광역시 서구+한국수자원공사,032-560-5933,http://www.seo.incheon.kr/,인천광역시 서구 정서진1로 41,2024-03-05,인천광역시 서구
벌교꼬막축제,2023-10-27,2023-10-29,지역 농특산물 판매 및 체험 전시행사,벌교꼬막추진위원회,061-857-7676,,전라남도 보성군 벌교읍 벌교천1길 19,2024-04-16,전라남도 보성군
보성다향대축제,2024-05-03,2024-05-07,차 관련 공연+전시+경연+판매+체험행사,보성다향대축제추진위원회,061-850-0058,,전라남도 보성군 보성읍 녹차로 775,2024-04-16,전라남도 보성군
보성군민의날,2024-05-03,2024-05-03,군민의날 기념식+군민 어울림 한마당+축하공연 등,보성군민의날추진위원회,061-850-5104,,전라남도 보성군 보성읍 용문길 18,2024-04-16,전라남도 보성군
서편제 보성소리축제,2024-05-04,2024-05-06,전국 판소리·고수경연대회+추모공연 등,서편제보성소리축제추진위원회,061-850-5892,,전라남도 보성군 보성읍 송재로 281-9,2024-04-16,전라남도 보성군
단종문화제,2022-04-29,2022-05-01,조신시대국장재현+정순왕후선발대회+야간칡줄다리기,강원도 영월군,033-375-6353,http://www.ywcf.com/,강원도 영월군 영월읍 단종로 24,2022-06-15,강원도 영월군
동강국제사진제,2022-07-22,2022-10-09,동강사진상+워크숍+사진예술전시,강원도 영월군,033-375-6353,http://www.ywcf.com/,강원도 영월군 영월읍 영월로 1909-10,2022-06-15,강원도 영월군
영월동강뗏목축제,2022-07-28,2022-07-30,전통뗏목시연+맨손송어잡기+래프팅,강원도 영월군,033-375-6353,http://www.ywcf.com/,,2022-06-15,강원도 영월군
제36회 지용제,2023-09-07,2023-09-10,지용문학상 시상식+시노래콘서트+향수콘서트+지용백일장 등,충청북도 옥천군청·옥천문화원,043-730-3403,http://gy-festival.okcc.or.kr/html/kr/,충청북도 옥천군 옥천읍 매동로 209,2023-11-28,충청북도 옥천군
제1회 향수옥천 유채꽃축제,2023-04-15,2023-05-14,개막 축하공연+기념음악회+농·특산물 판매 등,충청북도 옥천군청,043-730-4533,,,2023-11-28,충청북도 옥천군
2023 제11회 군산시간여행축제,2023-10-06,2023-10-09,근대를 축으로 한 시간여행축제,전라북도 군산시,063-454-3302,http://festival.gunsan.go.kr/,전라북도 군산시 중앙로 178,2023-11-28,전라북도 군산시
제24회음성품바축제,2023-05-17,2023-05-21,"글로벌품바래퍼경연대회, 품바라이브 등 공연 및 체험",음성군 축제추진 위원회,043-873-2241,http://www.pumba21.com/,충청북도 음성군 음성읍 예술로 102,2023-11-27,충청북도 음성군
제42회설성문화제,2023-10-12,2023-10-15,"민속예술한마당놀이, 군민노래자랑 등 각종 체험",음성군 축제추진 위원회,043-872-4084,http://eumseong.kccf.or.kr,충청북도 음성군 음성읍 수정로 38,2023-11-27,충청북도 음성군
2024 봄시즌 북구 비엔날레 문화콘서트,2024-06-22,2024-06-22,다채로운 문화행사 운영 및 미디어파사드 콘텐츠 전시,광주광역시 북구,062-410-8227,,광주광역시 북구 비엔날레로 111,2024-05-22,광주광역시 북구
2024 봄시즌 북구 비엔날레 문화콘서트,2024-06-29,2024-06-29,다채로운 문화행사 운영 및 미디어파사드 콘텐츠 전시,광주광역시 북구,062-410-8227,,광주광역시 북구 비엔날레로 111,2024-05-22,광주광역시 북구
2024 광주문화유산야행 돌의 기억,2024-04-26,2024-04-27,8야(夜) 테마 문화유산 야간문화 향유 프로그램 운영,광주광역시 동구,062-608-2403,http://www.gjnight.com,광주광역시 동구 서남로 1(동구청),2024-05-21,광주광역시 동구
제20회 광주 추억의 충장축제,2024-10-02,2024-10-06,공식행사+퍼레이드+전시+공연+체험+국제교류행사 등,광주광역시 동구,062-608-4674,http://www.donggu.kr/index.es?sid=c8,광주광역시 동구 서남로 1(동구청),2024-05-21,광주광역시 동구
춘천낭만여행 - 풍물장 새봄맞이 신명굿,2020-05-17,2020-07-12,풍물장 새봄맞이 신명굿,춘천뒤뚜루농악보존회,,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7545,강원도 춘천시 영서로 2352-21 풍물시장,2023-01-12,강원도 춘천시
춘천전쟁과 일상 국제문학포럼 2020 -한국전쟁 후-,2020-02-05,2020-02-05,강연 및 토론,강원문화연구소 중점연구소사업단+강원대학교 지역사회연구,033-245-6603,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7531,강원도 춘천시 강원대학길 1,2023-01-12,강원도 춘천시
이계통간異系統間 배요한 박예지 2인전,2022-08-02,2022-08-14,배요한x박예지 이계통간(異系統間),개나리미술관,070-8095-3899,https://www.cccf.or.kr/Home/H40000/H40400/boardList?cate_id=&search_type=1&search_keyword=EC9DB4EAB384ED86B5EAB08428E795B0E7B3BBE7B5B1E9969329+3A+EBB0B0EC9A94ED959C+EBB095EC9888ECA780+2EC9DB8ECA084,강원도 춘천시 동내면거두택지길44번길7-19,2023-01-12,강원도 춘천시
춘천인형극박물관 재개관 전시 인형의 기술,2020-10-15,2020-12-31,인형의 기술,(재) 춘천인형극제+(사)유니마코리아,033-242-8452,https://www.cccf.or.kr/Home/H40000/H40400/boardView?board_key=7591&search_type=1&search_keyword=ECB698ECB29CEC9DB8ED9895EAB7B9EBB095EBACBCEAB480+EC9EACEAB09CEAB480+ECA084EC8B9C+E3808AEC9DB8ED9895EC9D98+EAB8B0EC88A0E3808B,강원도 춘천시 영서로 3017,2023-01-12,강원도 춘천시
